,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,233.3333333333334,466.6666666666668,700.4666666666667,941.7333333333335,1193.7333333333336,1461.6,1747.6666666666667,2057.7666666666673,2381.866666666667,2710.4,3109.166666666666,3466.866666666665,3956.866666666665,4419.566666666666,5063.566666666667,5593.000000000002,6323.566666666669,7296.333333333338,8289.16666666667,9812.366666666665,11534.133333333326,13411.066666666655,15186.266666666654,17059.23333333333,18740.86666666667,20818.933333333345,22566.366666666698,24362.333333333376,26247.900000000056,27973.166666666726
1,0.0,0.0,233.3333333333334,466.9000000000001,709.8,960.4000000000001,1232.0,1518.7666666666667,1824.9,2147.1333333333337,2480.566666666667,2862.9999999999995,3273.199999999999,3747.5666666666657,4233.133333333332,4814.133333333334,5382.533333333334,6146.233333333335,6986.233333333338,8014.066666666669,9585.8,11380.599999999995,13202.466666666656,15111.13333333332,16659.06666666666,18554.9,20378.400000000016,22221.966666666693,24247.533333333377,26040.00000000005,28044.333333333394
2,0.0,0.0,0.0,233.3333333333334,476.23333333333346,733.8333333333333,1004.5,1279.6,1600.4333333333334,1893.5,2265.9,2650.2,3065.766666666666,3516.0999999999985,3989.0666666666657,4512.666666666666,5178.133333333334,5922.233333333335,6863.266666666672,7913.26666666667,9351.3,11104.56666666666,13019.53333333332,14718.433333333322,16484.533333333326,18362.866666666665,20410.833333333347,22094.33333333336,23465.633333333368,25735.033333333387,27546.400000000063
3,0.0,0.0,0.0,0.0,240.33333333333337,494.2000000000001,761.3666666666668,1054.2,1355.9000000000003,1666.0000000000002,2045.866666666667,2416.866666666667,2803.9666666666662,3298.399999999999,3784.899999999999,4336.033333333332,4968.6,5734.166666666669,6543.133333333338,7644.000000000004,9100.233333333332,10932.133333333328,12541.666666666657,14525.466666666653,16236.733333333323,18455.033333333333,19797.400000000012,22220.100000000028,23482.200000000037,25365.20000000005,27208.766666666732
4,0.0,0.0,0.0,0.0,0.0,254.80000000000007,514.0333333333334,813.1666666666667,1116.9666666666667,1428.466666666667,1770.7666666666667,2138.266666666667,2575.7666666666664,3024.933333333333,3499.999999999999,4102.699999999999,4729.9,5441.333333333335,6322.8666666666695,7354.433333333338,8845.9,10562.066666666664,12641.066666666657,14373.333333333321,16208.966666666656,17847.433333333327,19457.433333333338,21441.933333333352,23240.93333333337,25455.033333333384,27171.433333333393
5,0.0,0.0,0.0,0.0,0.0,0.0,270.90000000000003,548.5666666666667,860.5333333333334,1189.0666666666668,1512.2333333333336,1935.7333333333336,2341.266666666667,2767.566666666666,3258.2666666666655,3863.766666666666,4541.833333333332,5223.166666666668,6063.633333333336,7158.900000000003,8573.833333333336,10253.366666666665,12043.733333333324,14119.699999999988,15768.666666666655,17535.23333333333,19617.033333333336,21422.80000000002,23313.500000000036,24813.83333333338,26940.90000000006
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3666666666667,597.3333333333334,924.9333333333334,1271.9,1659.466666666667,2054.266666666667,2528.633333333333,2990.633333333333,3574.199999999999,4235.933333333333,4951.1,5744.200000000002,6972.46666666667,8308.766666666668,9951.43333333333,11960.199999999993,13873.299999999988,15458.566666666657,17372.36666666666,19271.933333333334,21100.33333333335,22958.3666666667,24823.633333333382,26563.60000000006
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.5333333333333,625.5666666666667,958.5333333333334,1361.0333333333335,1773.8000000000002,2226.0,2706.1999999999994,3246.599999999999,3924.1999999999994,4616.733333333333,5505.033333333335,6589.566666666669,7998.200000000003,9788.333333333332,11697.699999999993,13520.966666666656,15333.966666666656,17118.03333333333,19047.000000000004,20781.600000000013,22454.60000000003,24310.300000000043,26202.400000000056
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.6,682.9666666666667,1048.1333333333334,1458.5666666666668,1908.6666666666667,2450.233333333333,3015.5999999999995,3554.1333333333328,4313.166666666666,5273.800000000002,6168.866666666669,7757.8666666666695,9492.0,11350.266666666661,13076.466666666656,15077.066666666657,16965.199999999993,18667.366666666672,20269.200000000015,22383.20000000003,23876.766666666706,25517.333333333387
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.63333333333327,724.5,1134.0,1599.0333333333335,2079.4666666666667,2632.6999999999994,3281.599999999999,4095.6999999999994,4924.5,6094.200000000002,7340.66666666667,9207.8,10996.53333333333,12830.999999999989,14732.666666666657,16337.066666666657,18299.86666666667,20075.30000000001,21802.200000000023,23507.8666666667,25599.466666666718
